experiment_id,campus_id,campus_name,channel_id,channel_name,hypothesis,incentive,expected_activations,expected_spend,expected_cac,impact_score,confidence_score,ease_score,risk_score,priority_score,decision,owner
EXP046,CMP020,Desert Valley University,referral,Student referral loops,Peer referral credits will shorten the path from application to activation.,credit education,18,261.82,14.55,97.8,94,72.7,42.7,26.5,Do not pursue,Community
EXP038,CMP017,Riverbend University,referral,Student referral loops,Peer referral credits will shorten the path from application to activation.,peer challenge,18,300.77,16.71,98,92.1,72.2,19.7,25.8,Do not pursue,RevOps
EXP027,CMP013,Great Lakes Business Institute,campus_ambassador,Campus ambassadors,Student ambassador office hours will lift trust before arrival.,fee waiver,18,405.4,22.52,98,94,70.3,12,25.7,Do not pursue,RevOps
EXP003,CMP001,Atlantic Gateway University,creator_content,Creator content,Creator explainers will reduce confusion around no-SSN credit access.,credit education,18,531.67,29.54,98,94,69.2,23.2,25.2,Do not pursue,RevOps
EXP041,CMP019,Queen City College,campus_ambassador,Campus ambassadors,Student ambassador office hours will lift trust before arrival.,arrival checklist,18,315.72,17.54,98,94,69.1,31.2,25.2,Do not pursue,Community
EXP013,CMP008,Summit Business School,referral,Student referral loops,Peer referral credits will shorten the path from application to activation.,cashback boost,18,413.14,22.95,98,93.6,68.4,26.5,24.8,Do not pursue,Growth
EXP019,CMP011,South Coast University,campus_ambassador,Campus ambassadors,Student ambassador office hours will lift trust before arrival.,office hours,18,431.39,23.97,98,82.6,77.2,12,24.8,Do not pursue,Growth
EXP021,CMP012,Pioneer STEM College,campus_ambassador,Campus ambassadors,Student ambassador office hours will lift trust before arrival.,cashback boost,18,409.29,22.74,98,91.2,70.2,32.6,24.8,Do not pursue,RevOps
EXP001,CMP001,Atlantic Gateway University,campus_ambassador,Campus ambassadors,Student ambassador office hours will lift trust before arrival.,cashback boost,18,321.4,17.86,98,88.2,71.8,40.5,24.6,Do not pursue,Community
EXP062,CMP024,Prairie Data University,campus_ambassador,Campus ambassadors,Student ambassador office hours will lift trust before arrival.,cashback boost,18,353.67,19.65,98,92.5,68.7,39.3,24.6,Do not pursue,Product
EXP006,CMP002,Metro Tech Institute,referral,Student referral loops,Peer referral credits will shorten the path from application to activation.,peer challenge,18,277.5,15.42,98,94,67.0,32.7,24.5,Do not pursue,Community
EXP030,CMP014,Canyon State University,partner_webinar,Partner webinars,Visa and housing partner webinars will convert high-intent applicants.,cashback boost,22,881.97,40.09,98,94,54.5,23.1,24.3,Do not pursue,Community
EXP028,CMP013,Great Lakes Business Institute,search_content,Search and explainer content,Search-led guides will capture users comparing banking options.,fee waiver,18,547.44,30.41,98,94,64.8,18.8,23.7,Do not pursue,Product
EXP058,CMP023,Keystone International College,referral,Student referral loops,Peer referral credits will shorten the path from application to activation.,fee waiver,18,363.84,20.21,98,82.7,71.8,33.3,23.0,Do not pursue,RevOps
EXP047,CMP020,Desert Valley University,creator_content,Creator content,Creator explainers will reduce confusion around no-SSN credit access.,peer challenge,18,491.34,27.3,98,94,62.0,33.2,22.6,Do not pursue,Product
EXP017,CMP011,South Coast University,search_content,Search and explainer content,Search-led guides will capture users comparing banking options.,office hours,18,457.37,25.41,98,76.6,74.6,12,22.2,Do not pursue,Product
EXP070,CMP026,Magnolia Technical University,search_content,Search and explainer content,Search-led guides will capture users comparing banking options.,peer challenge,18,468.82,26.05,98,92.2,62.2,40.1,22.2,Do not pursue,Growth
EXP054,CMP022,Harbor Analytics Institute,campus_ambassador,Campus ambassadors,Student ambassador office hours will lift trust before arrival.,fee waiver,18,309.6,17.2,98,94,62.3,46.6,22.0,Do not pursue,Product
EXP057,CMP023,Keystone International College,creator_content,Creator content,Creator explainers will reduce confusion around no-SSN credit access.,fee waiver,18,516.53,28.7,98,84.4,66.8,18.4,21.9,Do not pursue,Community
EXP034,CMP015,Hudson Applied Sciences,campus_ambassador,Campus ambassadors,Student ambassador office hours will lift trust before arrival.,office hours,18,332.92,18.5,89.2,88.1,69.9,42.4,21.8,Do not pursue,Growth
EXP007,CMP002,Metro Tech Institute,partner_webinar,Partner webinars,Visa and housing partner webinars will convert high-intent applicants.,peer challenge,18,539.72,29.98,96.9,91.8,61.2,29.3,21.6,Do not pursue,Product
EXP059,CMP023,Keystone International College,campus_ambassador,Campus ambassadors,Student ambassador office hours will lift trust before arrival.,cashback boost,18,382.42,21.25,96.2,84.9,65.2,31.6,21.1,Do not pursue,Product
EXP055,CMP022,Harbor Analytics Institute,referral,Student referral loops,Peer referral credits will shorten the path from application to activation.,peer challenge,18,232.08,12.89,98,86.3,76.6,54.9,21.0,Do not pursue,RevOps
EXP068,CMP025,Redwood Professional School,referral,Student referral loops,Peer referral credits will shorten the path from application to activation.,fee waiver,18,335.51,18.64,98,91.4,59.3,27.2,21.0,Do not pursue,Growth
EXP024,CMP012,Pioneer STEM College,partner_webinar,Partner webinars,Visa and housing partner webinars will convert high-intent applicants.,credit education,18,634.44,35.25,98,81.4,66.1,15.3,20.9,Do not pursue,Growth
EXP014,CMP008,Summit Business School,partner_webinar,Partner webinars,Visa and housing partner webinars will convert high-intent applicants.,arrival checklist,18,709.39,39.41,98,87.2,60.3,28.6,20.4,Do not pursue,RevOps
EXP049,CMP021,Union Graduate School,search_content,Search and explainer content,Search-led guides will capture users comparing banking options.,credit education,18,446.19,24.79,98,84.4,62.2,20.5,20.4,Do not pursue,Product
EXP039,CMP017,Riverbend University,partner_webinar,Partner webinars,Visa and housing partner webinars will convert high-intent applicants.,cashback boost,18,708.92,39.38,98,94,55.0,18.5,20.1,Do not pursue,Product
EXP018,CMP011,South Coast University,paid_social,Paid social,Paid social retargeting will recover students who dropped before KYC.,office hours,18,857.57,47.64,98,93.7,54.7,17.3,19.9,Do not pursue,Product
EXP042,CMP019,Queen City College,search_content,Search and explainer content,Search-led guides will capture users comparing banking options.,cashback boost,18,329.62,18.31,98,78.7,65.2,41.6,19.9,Do not pursue,RevOps
EXP063,CMP024,Prairie Data University,referral,Student referral loops,Peer referral credits will shorten the path from application to activation.,fee waiver,18,392.09,21.78,98,72.7,70.7,37.8,19.9,Do not pursue,Growth
EXP050,CMP021,Union Graduate School,referral,Student referral loops,Peer referral credits will shorten the path from application to activation.,arrival checklist,18,371.96,20.66,96.0,80.3,69.4,48.2,19.8,Do not pursue,Growth
EXP071,CMP026,Magnolia Technical University,referral,Student referral loops,Peer referral credits will shorten the path from application to activation.,peer challenge,18,315.89,17.55,98,76.4,72.4,48.9,19.8,Do not pursue,Product
EXP029,CMP014,Canyon State University,referral,Student referral loops,Peer referral credits will shorten the path from application to activation.,cashback boost,18,407.82,22.66,98,90.3,55.9,36.0,19.6,Do not pursue,Community
EXP008,CMP002,Metro Tech Institute,campus_ambassador,Campus ambassadors,Student ambassador office hours will lift trust before arrival.,peer challenge,18,314.11,17.45,98,94,53.1,40.2,19.4,Do not pursue,RevOps
EXP045,CMP020,Desert Valley University,search_content,Search and explainer content,Search-led guides will capture users comparing banking options.,office hours,18,379.89,21.11,94.0,94,58.9,48.2,19.2,Do not pursue,Growth
EXP004,CMP001,Atlantic Gateway University,search_content,Search and explainer content,Search-led guides will capture users comparing banking options.,peer challenge,18,472.08,26.23,98,86.8,56.6,30.4,19.1,Do not pursue,RevOps
EXP067,CMP025,Redwood Professional School,partner_webinar,Partner webinars,Visa and housing partner webinars will convert high-intent applicants.,fee waiver,18,766.57,42.59,98,90.6,54.4,19.8,19.1,Do not pursue,Community
EXP056,CMP022,Harbor Analytics Institute,search_content,Search and explainer content,Search-led guides will capture users comparing banking options.,cashback boost,18,305.82,16.99,98,94,57.3,51.0,18.5,Do not pursue,Product
EXP005,CMP002,Metro Tech Institute,search_content,Search and explainer content,Search-led guides will capture users comparing banking options.,peer challenge,18,362.87,20.16,89.3,85.7,60.2,24.5,18.3,Do not pursue,Product
